,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classify__criterion,param_classify__max_depth,param_classify__max_features,param_classify__min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score,mean_test_score,std_test_score,rank_test_score
301,0.020568323135375977,0.0020352552976433593,0.00220034122467041,0.0006020311166599736,gini,9,auto,40,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 40}",0.902465166130761,0.8858520900321544,0.8670953912111469,0.8944265809217578,0.8821007502679529,0.9121114683815649,0.8804930332261522,0.8831725616291533,0.9035369774919614,0.9008574490889604,0.8912111468381564,0.013006067630773407,1229
302,0.02098221778869629,0.003221528918970304,0.002503848075866699,0.000809482700979744,gini,9,auto,50,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 50}",0.8896034297963559,0.8719185423365488,0.9056806002143623,0.8703108252947481,0.9078242229367631,0.9169346195069668,0.8821007502679529,0.8960342979635584,0.8928188638799571,0.8922829581993569,0.892550911039657,0.014320318337021149,1207
303,0.023188090324401854,0.005471555822509427,0.002496075630187988,0.0006680745383486111,gini,9,auto,75,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 75}",0.897642015005359,0.8912111468381565,0.8719185423365488,0.8853161843515541,0.872454448017149,0.8708467309753484,0.8745980707395499,0.8853161843515541,0.8922829581993569,0.882636655948553,0.882422293676313,0.009098409616164703,1380
304,0.020990419387817382,0.0030004522383042737,0.002595186233520508,0.0009115741237446688,gini,9,auto,100,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 100}",0.8708467309753484,0.8912111468381565,0.864951768488746,0.8558413719185424,0.8660235798499464,0.8869239013933548,0.857449088960343,0.8633440514469454,0.8633440514469454,0.8804930332261522,0.870042872454448,0.01155433029506813,1593
305,0.020611500740051268,0.0013985749500513777,0.002802729606628418,0.0007445614972007331,gini,9,auto,150,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'auto', 'classify__min_samples_leaf': 150}",0.8660235798499464,0.8879957127545552,0.8445873526259379,0.84994640943194,0.8987138263665595,0.8778135048231511,0.8745980707395499,0.8542336548767417,0.8633440514469454,0.8879957127545552,0.8705251875669882,0.017053593228895006,1585
306,0.022889184951782226,0.003173253684832141,0.0032959938049316405,0.0014861293262607073,gini,9,log2,2,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'log2', 'classify__min_samples_leaf': 2}",0.9196141479099679,0.8853161843515541,0.8944265809217578,0.9222936763129689,0.9180064308681672,0.9169346195069668,0.9158628081457664,0.894962486602358,0.9169346195069668,0.8821007502679529,0.9066452304394426,0.014771567150578167,898
307,0.023681282997131348,0.001555035121707051,0.0033022165298461914,0.001186121515242989,gini,9,log2,3,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'log2', 'classify__min_samples_leaf': 3}",0.9180064308681672,0.8960342979635584,0.894962486602358,0.9035369774919614,0.8997856377277599,0.9163987138263665,0.9196141479099679,0.8912111468381565,0.8944265809217578,0.8960342979635584,0.9030010718113612,0.01032227239242135,976
308,0.024285888671875,0.0027209831822002767,0.00348360538482666,0.0012545653598652767,gini,9,log2,4,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'log2', 'classify__min_samples_leaf': 4}",0.9147909967845659,0.9056806002143623,0.9137191854233655,0.8794212218649518,0.9067524115755627,0.9115755627009646,0.8987138263665595,0.8890675241157556,0.92497320471597,0.8906752411575563,0.9035369774919614,0.01322504038505152,967
309,0.024431896209716798,0.006055326981219873,0.0029999971389770507,0.0009982409750712287,gini,9,log2,5,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'log2', 'classify__min_samples_leaf': 5}",0.9137191854233655,0.9072883172561629,0.9046087888531619,0.8772775991425509,0.9356913183279743,0.8778135048231511,0.905144694533762,0.9131832797427653,0.9094319399785638,0.9035369774919614,0.904769560557342,0.01618408537361939,944
310,0.0266845703125,0.00389795182977537,0.0035979747772216797,0.0013557598865902422,gini,9,log2,6,"{'classify__criterion': 'gini', 'classify__max_depth': 9, 'classify__max_features': 'log2', 'classify__min_samples_leaf': 6}",0.9062165058949625,0.912647374062165,0.8703108252947481,0.9131832797427653,0.9131832797427653,0.890139335476956,0.9185423365487674,0.9019292604501608,0.9062165058949625,0.8756698821007503,0.9008038585209002,0.015800495350358445,1021
