"","posXY","posX","posY","00:0f:a3:39:e1:c0","00:14:bf:3b:c7:c6","00:14:bf:b1:97:81","00:14:bf:b1:97:8a","00:14:bf:b1:97:8d","00:14:bf:b1:97:90","angle"
"1-103","1-10",1,10,-56.3636363636364,-68.6121794871795,-73.0529388882406,-44.5913040872588,-65.358665559247,-51.7487840020497,135
"1-113","1-11",1,11,-53.7969696969697,-68.2709771370322,-69.2763821242416,-46.4838652145647,-64.4444444444444,-51.8546843980311,135
"1-123","1-12",1,12,-55.3969696969697,-70.2439214920418,-70.1629483802291,-47.286570927342,-70.8361401471158,-50.7367024788859,135
"1-133","1-13",1,13,-58.0333333333333,-70.2583953750408,-74.2587571325006,-40.4180017006803,-70.1602639873916,-45.600070710435,135
"1-23","1-2",1,2,-55.4864758698092,-63.3915917325804,-60.459644631547,-39.6434999214207,-62.4372013142174,-55.8590500894061,135
"1-33","1-3",1,3,-55.008145676953,-62.8298821548822,-54.9058156143046,-39.127757856467,-57.6471902081658,-56.9447491001722,135
"1-43","1-4",1,4,-51.3363636363636,-62.8726495221416,-58.801166030147,-44.7297185076632,-59.8317876248075,-55.8919240658252,135
"1-53","1-5",1,5,-51.6121212121212,-64.1349915201642,-64.3128428270042,-40.9746495869303,-63.3331177238385,-56.055779152986,135
"1-63","1-6",1,6,-48.6454545454545,-64.1523576423576,-63.0790130406229,-48.2063976399621,-60.3150268894651,-55.3375775445582,135
"1-73","1-7",1,7,-53.2304395304395,-64.4975338768248,-62.1042830073707,-45.8836245954693,-52.4777591378171,-52.5004386926958,135
"1-83","1-8",1,8,-51.7337121212121,-65.3701422193629,-63.8229660221997,-46.7357592981794,-51.6458333333333,-51.065631567916,135
"1-93","1-9",1,9,-52.8333333333333,-66.4840480400825,-64.9602363856195,-47.7544987246485,-63.2042643543064,-49.5709021552546,135
"10-33","10-3",10,3,-47.7212121212121,-51.6128807693129,-50.0507879075265,-60.1108341479309,-55.9489272999091,-67.5335987920019,135
"10-43","10-4",10,4,-49.3727272727273,-49.8098704435661,-52.6765424273158,-58.1504256272401,-56.3928315412186,-70.0930979133226,135
"10-53","10-5",10,5,-46.0757575757576,-50.2009102009102,-54.3566273084345,-56.4887787610619,-58.4386030168334,-69.198057230357,135
"10-63","10-6",10,6,-45.0151515151515,-52.4787060529177,-59.0481285446436,-59.5045160664356,-58.0923234471622,-66.7912816281628,135
"10-73","10-7",10,7,-46.3787878787879,-52.0392628205128,-60.6653067239274,-60.6178724622846,-51.9417808561072,-70.629179331307,135
"10-83","10-8",10,8,-43.9868413868414,-55.4733331975956,-60.8174824318324,-59.2470359300081,-49.9273445535297,-66.6997389634434,135
"11-33","11-3",11,3,-51.2903808729497,-46.8425847093223,-52.6152484886503,-60.8075491759702,-58.5235085945399,-69.0144570707071,135
"11-43","11-4",11,4,-50.2915207117042,-50.7571290576781,-53.6281129098372,-56.5599876314162,-60.1642789678668,-71.2099292788948,135
"11-53","11-5",11,5,-50.8780650542118,-51.3204205215075,-63.1087421576271,-59.4510732323232,-57.9347348868625,-64.5769234440626,135
"11-63","11-6",11,6,-43.2591882123992,-51.3214354290103,-60.9393995324228,-56.1068389391995,-55.6006692856104,-72.2151685819711,135
"11-73","11-7",11,7,-46.6727272727273,-47.3616368286445,-59.3585879641399,-58.1623711471146,-49.963406052076,-70.6707063135099,135
"11-83","11-8",11,8,-49.0878787878788,-54.3794910162276,-59.2223277608916,-60.1063930031321,-49.7046977124183,-67.1533052982718,135
"12-33","12-3",12,3,-53.7420072282458,-47.1928261125082,-49.5981486515687,-60.8709795763904,-58.3815349827575,-70.398353909465,135
"12-43","12-4",12,4,-47.8818181818182,-47.221446875616,-53.713122605364,-59.2581950018901,-56.9049351363708,-69.4292524790236,135
"12-53","12-5",12,5,-49.360075219916,-52.9397122670901,-59.1035646714826,-58.1498778998779,-59.3655078587663,-69.9316223459081,135
"12-63","12-6",12,6,-49.4151515151515,-49.797157412921,-60.7484733449704,-56.839492485834,-58.395522696258,-69.635815854155,135
"12-73","12-7",12,7,-51.630303030303,-52.6230899830221,-56.2465317210066,-56.5768353944674,-45.3604540023895,-67.9070993914807,135
"12-83","12-8",12,8,-51.4727272727273,-53.4515995872033,-59.3028519475548,-58.30248531425,-47.2530721157222,-68.7592789373814,135
"13-33","13-3",13,3,-51.6527661940506,-51.0253233208177,-50.4007270351895,-58.6489345533419,-56.183618821372,-69.5462592682501,135
"13-43","13-4",13,4,-48.3878787878788,-45.9844985434873,-52.8909181427523,-58.4816021349119,-58.4149490093454,-66.021148989899,135
"13-53","13-5",13,5,-50.6727272727273,-47.7153846153846,-58.5977184036008,-55.7066022400191,-59.0014047120825,-70.3257806753112,135
