,REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE
548,States,District of Columbia,2010,50,12,16.67
549,States,Florida,2010,50,X,X
550,States,Georgia,2010,50,1057,23.08
551,States,Hawaii,2010,50,266,12.03
552,States,Idaho,2010,50,X,X
553,States,Illinois,2010,50,48,35.42
554,States,Indiana,2010,50,98,16.33
555,States,Iowa,2010,50,82,23.17
556,States,Kansas,2010,50,13,23.08
557,States,Kentucky,2010,50,80,40
558,States,Louisiana,2010,50,303,23.43
559,States,Maine,2010,50,13,15.38
560,States,Maryland,2010,50,54,31.48
561,States,Massachusetts,2010,50,29,20.69
562,States,Michigan,2010,50,11,36.36
563,States,Minnesota,2010,50,156,5.77
564,States,Mississippi,2010,50,X,X
565,States,Missouri,2010,50,222,8.56
566,States,Montana,2010,50,37,27.03
567,States,Nebraska,2010,50,46,4.35
568,States,Nevada,2010,50,12,50
569,States,New Hampshire,2010,50,19,0
570,States,New Jersey,2010,50,X,X
571,States,New Mexico,2010,50,19,31.58
572,States,New York,2010,50,697,10.62
573,States,North Carolina,2010,50,21,9.52
574,States,North Dakota,2010,50,45,2.22
575,States,Ohio,2010,50,31,0
576,States,Oklahoma,2010,50,76,3.95
577,States,Oregon,2010,50,18,5.56
578,States,Pennsylvania,2010,50,240,23.75
579,States,Rhode Island,2010,50,X,X
580,States,South Carolina,2010,50,118,5.93
581,States,South Dakota,2010,50,24,25
582,States,Tennessee,2010,50,86,13.95
583,States,Texas,2010,50,742,19.54
584,States,Utah,2010,50,477,34.59
585,States,Vermont,2010,50,X,X
586,States,Virginia,2010,50,57,5.26
587,States,Washington,2010,50,203,2.46
588,States,West Virginia,2010,50,135,5.93
589,States,Wisconsin,2010,50,111,9.01
590,States,Wyoming,2010,50,24,12.5
591,States,Puerto Rico,2010,50,X,X
592,States,Virgin Islands,2010,50,0,0
593,States,New York City,2010,50,X,X
594,States,Alabama,2010,51,106,45.28
595,States,Alaska,2010,51,30,10
596,States,Arizona,2010,51,215,53.02
597,States,Arkansas,2010,51,45,15.56
598,States,California,2010,51,307,11.07
599,States,Colorado,2010,51,261,14.18
600,States,Connecticut,2010,51,143,31.47
601,States,Delaware,2010,51,114,11.4
602,States,District of Columbia,2010,51,16,12.5
603,States,Florida,2010,51,X,X
604,States,Georgia,2010,51,1240,24.27
605,States,Hawaii,2010,51,245,13.06
606,States,Idaho,2010,51,X,X
607,States,Illinois,2010,51,68,57.35
608,States,Indiana,2010,51,110,26.36
609,States,Iowa,2010,51,79,27.85
610,States,Kansas,2010,51,17,29.41
611,States,Kentucky,2010,51,66,25.76
612,States,Louisiana,2010,51,413,24.46
613,States,Maine,2010,51,17,17.65
614,States,Maryland,2010,51,72,37.5
615,States,Massachusetts,2010,51,18,0
616,States,Michigan,2010,51,12,33.33
617,States,Minnesota,2010,51,113,18.58
618,States,Mississippi,2010,51,X,X
619,States,Missouri,2010,51,231,9.52
620,States,Montana,2010,51,35,31.43
621,States,Nebraska,2010,51,46,13.04
622,States,Nevada,2010,51,15,53.33
623,States,New Hampshire,2010,51,14,7.14
624,States,New Jersey,2010,51,X,X
625,States,New Mexico,2010,51,18,16.67
626,States,New York,2010,51,776,17.78
627,States,North Carolina,2010,51,16,43.75
628,States,North Dakota,2010,51,40,5
629,States,Ohio,2010,51,71,2.82
630,States,Oklahoma,2010,51,81,35.8
631,States,Oregon,2010,51,13,15.38
632,States,Pennsylvania,2010,51,257,34.63
633,States,Rhode Island,2010,51,X,X
634,States,South Carolina,2010,51,95,14.74
635,States,South Dakota,2010,51,35,31.43
636,States,Tennessee,2010,51,67,22.39
637,States,Texas,2010,51,806,25.06
638,States,Utah,2010,51,529,49.91
639,States,Vermont,2010,51,X,X
640,States,Virginia,2010,51,76,7.89
641,States,Washington,2010,51,192,6.25
642,States,West Virginia,2010,51,108,0.93
643,States,Wisconsin,2010,51,133,12.78
644,States,Wyoming,2010,51,20,0
645,States,Puerto Rico,2010,51,X,X
646,States,Virgin Islands,2010,51,0,0
647,States,New York City,2010,51,X,X
648,States,Alabama,2010,52,152,38.16
649,States,Alaska,2010,52,53,11.32
650,States,Arizona,2010,52,212,61.79
651,States,Arkansas,2010,52,34,23.53
652,States,California,2010,52,343,10.2
653,States,Colorado,2010,52,295,20
654,States,Connecticut,2010,52,208,49.04
655,States,Delaware,2010,52,115,8.7
656,States,District of Columbia,2010,52,28,21.43
657,States,Florida,2010,52,X,X
658,States,Georgia,2010,52,1157,21.26
659,States,Hawaii,2010,52,147,38.1
660,States,Idaho,2010,52,X,X
661,States,Illinois,2010,52,89,41.57
662,States,Indiana,2010,52,167,49.1
663,States,Iowa,2010,52,87,31.03
664,States,Kansas,2010,52,14,50
665,States,Kentucky,2010,52,56,58.93
666,States,Louisiana,2010,52,380,25
667,States,Maine,2010,52,10,40
668,States,Maryland,2010,52,111,40.54
669,States,Massachusetts,2010,52,15,26.67
670,States,Michigan,2010,52,11,72.73
671,States,Minnesota,2010,52,165,18.18
672,States,Mississippi,2010,52,X,X
673,States,Missouri,2010,52,293,11.95
674,States,Montana,2010,52,50,24
675,States,Nebraska,2010,52,48,14.58
676,States,Nevada,2010,52,17,52.94
677,States,New Hampshire,2010,52,21,23.81
678,States,New Jersey,2010,52,X,X
679,States,New Mexico,2010,52,24,16.67
680,States,New York,2010,52,883,24.46
681,States,North Carolina,2010,52,20,50
682,States,North Dakota,2010,52,44,13.64
683,States,Ohio,2010,52,72,8.33
684,States,Oklahoma,2010,52,115,27.83
685,States,Oregon,2010,52,12,25
686,States,Pennsylvania,2010,52,315,40.32
687,States,Rhode Island,2010,52,X,X
688,States,South Carolina,2010,52,260,13.46
689,States,South Dakota,2010,52,34,50
690,States,Tennessee,2010,52,94,26.6
691,States,Texas,2010,52,922,20.17
692,States,Utah,2010,52,577,39.34
693,States,Vermont,2010,52,X,X
694,States,Virginia,2010,52,94,14.89
695,States,Washington,2010,52,216,3.7
696,States,West Virginia,2010,52,163,14.11
697,States,Wisconsin,2010,52,140,22.86
698,States,Wyoming,2010,52,14,21.43
699,States,Puerto Rico,2010,52,X,X
700,States,Virgin Islands,2010,52,0,0
701,States,New York City,2010,52,X,X
702,States,Alabama,2011,1,153,35.95
703,States,Alaska,2011,1,52,21.15
704,States,Arizona,2011,1,207,63.77
705,States,Arkansas,2011,1,51,13.73
706,States,California,2011,1,324,10.8
