pdq,Seasonal PDQ,AIC
"(3, 1, 0)","(4, 1, 1, 52)",18.0
"(3, 1, 1)","(0, 0, 0, 52)",3395.0547998831707
"(3, 1, 1)","(0, 0, 1, 52)",23302.278639509233
"(3, 1, 1)","(0, 1, 0, 52)",2603.765299596207
"(3, 1, 1)","(0, 1, 1, 52)",1705.3645132710492
"(3, 1, 1)","(1, 0, 0, 52)",2557.4639812541027
"(3, 1, 1)","(1, 0, 1, 52)",14588286.329662837
"(3, 1, 1)","(1, 1, 0, 52)",1706.3533294901472
"(3, 1, 1)","(1, 1, 1, 52)",1701.697628569607
"(3, 1, 1)","(2, 0, 0, 52)",1693.928503294103
"(3, 1, 1)","(2, 0, 1, 52)",3601.94509899651
"(3, 1, 1)","(2, 1, 0, 52)",790.688756121144
"(3, 1, 1)","(2, 1, 1, 52)",809.3449725492084
"(3, 1, 1)","(3, 0, 0, 52)",783.09623171829
"(3, 1, 1)","(3, 0, 1, 52)",816.5792896282752
"(3, 1, 1)","(3, 1, 0, 52)",16.0
"(3, 1, 1)","(3, 1, 1, 52)",18.0
"(3, 1, 1)","(4, 0, 0, 52)",18.0
"(3, 1, 1)","(4, 0, 1, 52)",20.0
"(3, 1, 1)","(4, 1, 0, 52)",18.0
"(3, 1, 1)","(4, 1, 1, 52)",20.0
"(4, 0, 0)","(0, 0, 0, 52)",3385.911870789684
"(4, 0, 0)","(0, 0, 1, 52)",6296.070031848196
"(4, 0, 0)","(0, 1, 0, 52)",2601.023809616505
"(4, 0, 0)","(0, 1, 1, 52)",1745.4606731624672
"(4, 0, 0)","(1, 0, 0, 52)",2550.1222739240193
"(4, 0, 0)","(1, 0, 1, 52)",5.479169291625011e+16
"(4, 0, 0)","(1, 1, 0, 52)",1699.9380323954974
"(4, 0, 0)","(1, 1, 1, 52)",1699.1157602703784
"(4, 0, 0)","(2, 0, 0, 52)",1694.5095967763418
"(4, 0, 0)","(2, 0, 1, 52)",1787.8335355530248
"(4, 0, 0)","(2, 1, 0, 52)",790.0622961778203
"(4, 0, 0)","(2, 1, 1, 52)",790.9576849805528
