,REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,PERCENT POSITIVE,A (2009 H1N1),A (H1),A (H3),A (Subtyping not Performed),A (Unable to Subtype),B,H3N2v
275,States,Colorado,2010,45,212,2.36,0,0,0,5,0,0,0
276,States,Connecticut,2010,45,64,1.56,1,0,0,0,0,0,0
277,States,Delaware,2010,45,105,0.95,1,0,0,0,0,0,0
278,States,District of Columbia,2010,45,X,X,X,X,X,X,X,X,X
279,States,Florida,2010,45,X,X,X,X,X,X,X,X,X
280,States,Georgia,2010,45,426,15.73,0,0,0,3,0,64,0
281,States,Hawaii,2010,45,183,1.64,0,0,1,1,0,1,0
282,States,Idaho,2010,45,X,X,X,X,X,X,X,X,X
283,States,Illinois,2010,45,36,2.78,0,0,1,0,0,0,0
284,States,Indiana,2010,45,99,0,0,0,0,0,0,0,0
285,States,Iowa,2010,45,73,0,0,0,0,0,0,0,0
286,States,Kansas,2010,45,17,0,0,0,0,0,0,0,0
287,States,Kentucky,2010,45,45,8.89,3,0,1,0,0,0,0
288,States,Louisiana,2010,45,181,3.31,0,0,0,4,0,2,0
289,States,Maine,2010,45,X,X,X,X,X,X,X,X,X
290,States,Maryland,2010,45,30,0,0,0,0,0,0,0,0
291,States,Massachusetts,2010,45,14,0,0,0,0,0,0,0,0
292,States,Michigan,2010,45,X,X,X,X,X,X,X,X,X
293,States,Minnesota,2010,45,107,4.67,0,0,5,0,0,0,0
294,States,Mississippi,2010,45,15,20,0,0,0,0,0,3,0
295,States,Missouri,2010,45,190,0,0,0,0,0,0,0,0
296,States,Montana,2010,45,13,0,0,0,0,0,0,0,0
297,States,Nebraska,2010,45,21,0,0,0,0,0,0,0,0
298,States,Nevada,2010,45,X,X,X,X,X,X,X,X,X
299,States,New Hampshire,2010,45,19,0,0,0,0,0,0,0,0
300,States,New Jersey,2010,45,X,X,X,X,X,X,X,X,X
301,States,New Mexico,2010,45,20,0,0,0,0,0,0,0,0
302,States,New York,2010,45,407,3.44,0,0,9,5,0,0,0
303,States,North Carolina,2010,45,21,4.76,0,0,1,0,0,0,0
304,States,North Dakota,2010,45,79,0,0,0,0,0,0,0,0
305,States,Ohio,2010,45,68,4.41,1,0,1,1,0,0,0
306,States,Oklahoma,2010,45,46,0,0,0,0,0,0,0,0
307,States,Oregon,2010,45,32,0,0,0,0,0,0,0,0
308,States,Pennsylvania,2010,45,177,2.82,3,0,2,0,0,0,0
309,States,Rhode Island,2010,45,X,X,X,X,X,X,X,X,X
310,States,South Carolina,2010,45,117,3.42,0,0,2,0,0,2,0
311,States,South Dakota,2010,45,19,0,0,0,0,0,0,0,0
312,States,Tennessee,2010,45,86,0,0,0,0,0,0,0,0
313,States,Texas,2010,45,499,1.8,0,0,3,2,0,4,0
314,States,Utah,2010,45,270,8.15,2,0,16,3,0,1,0
315,States,Vermont,2010,45,X,X,X,X,X,X,X,X,X
316,States,Virginia,2010,45,60,0,0,0,0,0,0,0,0
317,States,Washington,2010,45,162,0.62,0,0,1,0,0,0,0
318,States,West Virginia,2010,45,171,1.75,3,0,0,0,0,0,0
319,States,Wisconsin,2010,45,109,0.92,0,0,1,0,0,0,0
320,States,Wyoming,2010,45,32,0,0,0,0,0,0,0,0
321,States,Puerto Rico,2010,45,X,X,X,X,X,X,X,X,X
322,States,Virgin Islands,2010,45,0,0,0,0,0,0,0,0,0
323,States,New York City,2010,45,X,X,X,X,X,X,X,X,X
324,States,Alabama,2010,46,97,17.53,0,0,1,0,0,16,0
325,States,Alaska,2010,46,32,0,0,0,0,0,0,0,0
326,States,Arizona,2010,46,69,1.45,0,0,1,0,0,0,0
327,States,Arkansas,2010,46,25,4,0,0,1,0,0,0,0
328,States,California,2010,46,275,4.73,0,0,2,0,0,11,0
329,States,Colorado,2010,46,154,1.95,0,0,0,3,0,0,0
330,States,Connecticut,2010,46,84,3.57,0,0,3,0,0,0,0
331,States,Delaware,2010,46,81,1.23,1,0,0,0,0,0,0
332,States,District of Columbia,2010,46,17,5.88,0,0,1,0,0,0,0
333,States,Florida,2010,46,X,X,X,X,X,X,X,X,X
334,States,Georgia,2010,46,628,18.95,2,0,3,4,0,110,0
335,States,Hawaii,2010,46,194,4.12,0,0,1,1,0,6,0
336,States,Idaho,2010,46,X,X,X,X,X,X,X,X,X
337,States,Illinois,2010,46,29,10.34,0,0,3,0,0,0,0
338,States,Indiana,2010,46,89,0,0,0,0,0,0,0,0
339,States,Iowa,2010,46,60,0,0,0,0,0,0,0,0
340,States,Kansas,2010,46,13,0,0,0,0,0,0,0,0
341,States,Kentucky,2010,46,45,8.89,4,0,0,0,0,0,0
342,States,Louisiana,2010,46,162,5.56,0,0,0,7,0,2,0
343,States,Maine,2010,46,X,X,X,X,X,X,X,X,X
344,States,Maryland,2010,46,42,14.29,1,0,5,0,0,0,0
345,States,Massachusetts,2010,46,16,6.25,0,0,1,0,0,0,0
346,States,Michigan,2010,46,X,X,X,X,X,X,X,X,X
347,States,Minnesota,2010,46,100,10,0,0,10,0,0,0,0
348,States,Mississippi,2010,46,13,30.77,0,0,0,0,0,4,0
349,States,Missouri,2010,46,191,0,0,0,0,0,0,0,0
350,States,Montana,2010,46,X,X,X,X,X,X,X,X,X
351,States,Nebraska,2010,46,33,6.06,0,0,0,0,0,2,0
352,States,Nevada,2010,46,18,16.67,1,0,2,0,0,0,0
353,States,New Hampshire,2010,46,17,0,0,0,0,0,0,0,0
354,States,New Jersey,2010,46,X,X,X,X,X,X,X,X,X
355,States,New Mexico,2010,46,18,5.56,0,0,0,0,0,1,0
356,States,New York,2010,46,421,6.18,0,0,14,12,0,0,0
357,States,North Carolina,2010,46,21,9.52,0,0,0,0,0,2,0
358,States,North Dakota,2010,46,37,0,0,0,0,0,0,0,0
359,States,Ohio,2010,46,58,10.34,4,0,2,0,0,0,0
360,States,Oklahoma,2010,46,68,5.88,0,0,0,1,0,3,0
361,States,Oregon,2010,46,16,0,0,0,0,0,0,0,0
362,States,Pennsylvania,2010,46,204,5.88,3,0,6,3,0,0,0
363,States,Rhode Island,2010,46,X,X,X,X,X,X,X,X,X
364,States,South Carolina,2010,46,118,1.69,0,0,1,0,0,1,0
365,States,South Dakota,2010,46,32,0,0,0,0,0,0,0,0
366,States,Tennessee,2010,46,91,0,0,0,0,0,0,0,0
367,States,Texas,2010,46,447,3.58,0,0,3,3,0,10,0
368,States,Utah,2010,46,277,14.44,3,0,27,10,0,0,0
369,States,Vermont,2010,46,X,X,X,X,X,X,X,X,X
370,States,Virginia,2010,46,63,1.59,0,0,1,0,0,0,0
371,States,Washington,2010,46,152,3.29,0,0,4,1,0,0,0
372,States,West Virginia,2010,46,176,2.84,3,0,0,2,0,0,0
373,States,Wisconsin,2010,46,122,1.64,0,0,2,0,0,0,0
374,States,Wyoming,2010,46,20,0,0,0,0,0,0,0,0
375,States,Puerto Rico,2010,46,X,X,X,X,X,X,X,X,X
376,States,Virgin Islands,2010,46,0,0,0,0,0,0,0,0,0
377,States,New York City,2010,46,X,X,X,X,X,X,X,X,X
378,States,Alabama,2010,47,97,17.53,2,0,3,0,0,12,0
379,States,Alaska,2010,47,29,0,0,0,0,0,0,0,0
380,States,Arizona,2010,47,69,13.04,0,0,8,0,0,1,0
381,States,Arkansas,2010,47,36,5.56,0,0,2,0,0,0,0
382,States,California,2010,47,223,2.69,0,0,1,0,0,5,0
383,States,Colorado,2010,47,205,5.37,0,0,8,3,0,0,0
384,States,Connecticut,2010,47,79,2.53,0,0,2,0,0,0,0
385,States,Delaware,2010,47,69,0,0,0,0,0,0,0,0
386,States,District of Columbia,2010,47,X,X,X,X,X,X,X,X,X
387,States,Florida,2010,47,X,X,X,X,X,X,X,X,X
388,States,Georgia,2010,47,861,18.82,0,0,2,7,0,153,0
389,States,Hawaii,2010,47,163,7.36,0,0,2,3,0,7,0
390,States,Idaho,2010,47,X,X,X,X,X,X,X,X,X
391,States,Illinois,2010,47,38,13.16,0,0,5,0,0,0,0
392,States,Indiana,2010,47,84,0,0,0,0,0,0,0,0
393,States,Iowa,2010,47,43,2.33,0,0,0,0,0,1,0
394,States,Kansas,2010,47,11,0,0,0,0,0,0,0,0
395,States,Kentucky,2010,47,51,7.84,3,0,1,0,0,0,0
396,States,Louisiana,2010,47,136,6.62,0,0,0,4,0,5,0
397,States,Maine,2010,47,X,X,X,X,X,X,X,X,X
398,States,Maryland,2010,47,26,3.85,0,0,1,0,0,0,0
399,States,Massachusetts,2010,47,21,0,0,0,0,0,0,0,0
400,States,Michigan,2010,47,X,X,X,X,X,X,X,X,X
401,States,Minnesota,2010,47,104,15.38,0,0,16,0,0,0,0
402,States,Mississippi,2010,47,X,X,X,X,X,X,X,X,X
403,States,Missouri,2010,47,184,0.54,0,0,0,1,0,0,0
404,States,Montana,2010,47,33,6.06,1,0,0,1,0,0,0
405,States,Nebraska,2010,47,39,0,0,0,0,0,0,0,0
406,States,Nevada,2010,47,X,X,X,X,X,X,X,X,X
407,States,New Hampshire,2010,47,11,18.18,0,0,2,0,0,0,0
