,REGION TYPE,REGION,YEAR,WEEK,TOTAL SPECIMENS,TOTAL A,TOTAL B,PERCENT POSITIVE,PERCENT A,PERCENT B
798,States,Tennessee,2016,2,221,5,6,4.98,2.26,2.71
799,States,Texas,2016,2,1603,28,13,2.56,1.75,0.81
800,States,Utah,2016,2,714,11,27,5.32,1.54,3.78
801,States,Vermont,2016,2,146,1,1,1.37,0.68,0.68
802,States,Virginia,2016,2,239,1,0,0.42,0.42,0
803,States,Washington,2016,2,436,11,24,8.03,2.52,5.5
804,States,West Virginia,2016,2,458,2,2,0.87,0.44,0.44
805,States,Wisconsin,2016,2,861,9,0,1.05,1.05,0
806,States,Wyoming,2016,2,25,2,0,8,8,0
807,States,Puerto Rico,2016,2,0,0,0,0,0,0
808,States,Virgin Islands,2016,2,X,X,X,X,X,X
809,States,New York City,2016,2,X,X,X,X,X,X
810,States,Alabama,2016,3,289,5,4,3.11,1.73,1.38
811,States,Alaska,2016,3,X,X,X,X,X,X
812,States,Arizona,2016,3,98,19,4,23.47,19.39,4.08
813,States,Arkansas,2016,3,54,0,1,1.85,0,1.85
814,States,California,2016,3,1627,137,68,12.6,8.42,4.18
815,States,Colorado,2016,3,592,19,2,3.55,3.21,0.34
816,States,Connecticut,2016,3,417,23,2,6,5.52,0.48
817,States,Delaware,2016,3,109,0,0,0,0,0
818,States,District of Columbia,2016,3,X,X,X,X,X,X
819,States,Florida,2016,3,X,X,X,X,X,X
820,States,Georgia,2016,3,577,16,4,3.47,2.77,0.69
821,States,Hawaii,2016,3,166,6,2,4.82,3.61,1.2
822,States,Idaho,2016,3,X,X,X,X,X,X
823,States,Illinois,2016,3,400,25,1,6.5,6.25,0.25
824,States,Indiana,2016,3,117,1,0,0.85,0.85,0
825,States,Iowa,2016,3,102,2,0,1.96,1.96,0
826,States,Kansas,2016,3,113,3,1,3.54,2.65,0.88
827,States,Kentucky,2016,3,245,1,2,1.22,0.41,0.82
828,States,Louisiana,2016,3,611,8,2,1.64,1.31,0.33
829,States,Maine,2016,3,56,0,0,0,0,0
830,States,Maryland,2016,3,21,0,0,0,0,0
831,States,Massachusetts,2016,3,382,6,4,2.62,1.57,1.05
832,States,Michigan,2016,3,719,27,3,4.17,3.76,0.42
833,States,Minnesota,2016,3,325,7,0,2.15,2.15,0
834,States,Mississippi,2016,3,134,3,1,2.99,2.24,0.75
835,States,Missouri,2016,3,489,11,0,2.25,2.25,0
836,States,Montana,2016,3,87,0,1,1.15,0,1.15
837,States,Nebraska,2016,3,71,1,1,2.82,1.41,1.41
838,States,Nevada,2016,3,13,1,0,7.69,7.69,0
839,States,New Hampshire,2016,3,24,0,0,0,0,0
840,States,New Jersey,2016,3,X,X,X,X,X,X
841,States,New Mexico,2016,3,338,19,4,6.8,5.62,1.18
842,States,New York,2016,3,1664,53,5,3.49,3.19,0.3
843,States,North Carolina,2016,3,147,1,6,4.76,0.68,4.08
844,States,North Dakota,2016,3,44,0,0,0,0,0
845,States,Ohio,2016,3,766,3,5,1.04,0.39,0.65
846,States,Oklahoma,2016,3,203,2,2,1.97,0.99,0.99
847,States,Oregon,2016,3,325,18,32,15.38,5.54,9.85
848,States,Pennsylvania,2016,3,639,4,3,1.1,0.63,0.47
849,States,Rhode Island,2016,3,X,X,X,X,X,X
850,States,South Carolina,2016,3,302,4,3,2.32,1.32,0.99
851,States,South Dakota,2016,3,156,2,0,1.28,1.28,0
852,States,Tennessee,2016,3,182,3,2,2.75,1.65,1.1
853,States,Texas,2016,3,1569,27,21,3.06,1.72,1.34
854,States,Utah,2016,3,754,23,30,7.03,3.05,3.98
855,States,Vermont,2016,3,137,1,1,1.46,0.73,0.73
856,States,Virginia,2016,3,182,1,1,1.1,0.55,0.55
857,States,Washington,2016,3,509,11,34,8.84,2.16,6.68
858,States,West Virginia,2016,3,313,2,0,0.64,0.64,0
859,States,Wisconsin,2016,3,885,21,1,2.49,2.37,0.11
860,States,Wyoming,2016,3,33,2,1,9.09,6.06,3.03
861,States,Puerto Rico,2016,3,0,0,0,0,0,0
862,States,Virgin Islands,2016,3,X,X,X,X,X,X
863,States,New York City,2016,3,X,X,X,X,X,X
864,States,Alabama,2016,4,267,3,2,1.87,1.12,0.75
865,States,Alaska,2016,4,X,X,X,X,X,X
866,States,Arizona,2016,4,119,13,2,12.61,10.92,1.68
867,States,Arkansas,2016,4,76,0,4,5.26,0,5.26
868,States,California,2016,4,1897,172,83,13.44,9.07,4.38
869,States,Colorado,2016,4,606,26,6,5.28,4.29,0.99
870,States,Connecticut,2016,4,502,32,1,6.57,6.37,0.2
871,States,Delaware,2016,4,104,4,1,4.81,3.85,0.96
872,States,District of Columbia,2016,4,X,X,X,X,X,X
873,States,Florida,2016,4,X,X,X,X,X,X
